PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Inhibition at 7.44 uM
RESULT_TYPE,,,,,,,FLOAT
RESULT_DESCR,,,,,,,Normalized percent inhibition of the primary screen at a compound concentration of 7.44 micromolar.
RESULT_UNIT,,,,,,,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,7.44
1,310303879,117094697,Active,100,,,73.38
2,310300935,117091937,Active,98,,,72.36
3,310292575,117084072,Active,97,,,71.61
4,310295206,117086520,Active,96,,,70.92
5,310291042,117082635,Active,94,,,69.06
6,310285538,117077023,Active,93,,,68.86
7,310300167,117091203,Active,91,,,67.38
8,310291760,117083305,Active,87,,,63.9
9,310292228,117083739,Active,84,,,62.23
10,310292133,117083654,Active,84,,,62.14
11,310303561,117094402,Active,83,,,61.3
12,310299716,117090776,Active,83,,,61.12
13,310293078,117084539,Active,83,,,61
14,310282203,76962610,Active,79,,,58.42
15,310293953,117085351,Active,78,,,57.95
16,310298085,117089220,Active,77,,,56.78
17,310292862,117084342,Active,77,,,56.58
18,310286907,117078756,Active,77,,,56.57
19,310286779,117078655,Active,76,,,56.23
20,310300326,117091355,Active,76,,,56.23
21,310292456,117083961,Active,76,,,55.97
22,310288081,117079834,Active,75,,,55.67
23,310293063,117084526,Active,74,,,54.68
24,310300211,117091246,Active,74,,,54.67
25,310290241,117081696,Active,74,,,54.62
26,310295716,117087000,Active,73,,,53.98
27,310294737,117086086,Active,72,,,52.94
28,310299937,117090986,Active,71,,,52.81
29,310297993,117088646,Active,71,,,52.26
30,310303106,117093972,Active,70,,,51.44
31,310293016,117084481,Active,69,,,51.05
32,310288967,117080679,Active,69,,,50.75
33,310288459,117080191,Active,69,,,50.67
34,310292584,117084079,Active,69,,,50.67
35,310295988,117087253,Active,68,,,50.04
36,310300295,117091326,Active,68,,,49.99
37,310296003,117087268,Active,67,,,49.81
38,310300694,117091705,Active,67,,,49.78
39,310300467,117091491,Active,67,,,49.76
40,310292730,117084215,Active,67,,,49.69
41,310292547,117084044,Active,67,,,49.55
42,310283624,117074927,Active,67,,,49.28
43,310300150,117091186,Active,67,,,49.21
44,310291146,117082727,Active,66,,,49.02
45,310295766,117087045,Active,66,,,48.93
46,310292053,117083581,Active,66,,,48.9
47,310286579,117078343,Active,66,,,48.62
48,310286452,117078126,Active,66,,,48.45
49,310296766,117087978,Active,65,,,48.25
50,310289757,117081435,Active,65,,,48.2
51,310286402,117078054,Active,65,,,48.11
52,310286377,117078017,Active,65,,,48.09
53,310301977,117092922,Active,65,,,48
54,310286682,117078535,Active,65,,,47.85
55,310303145,117094008,Active,65,,,47.84
56,162008203,71295826,Active,64,,,47.67
57,310300857,117091863,Active,64,,,47.63
58,310302010,117092954,Active,64,,,47.61
59,310289170,117080874,Active,64,,,47.24
60,310287914,117079681,Active,63,,,46.84
61,310296942,117088143,Active,63,,,46.31
62,310289465,117081153,Active,62,,,46.16
63,310302594,117093496,Active,62,,,46.11
64,310291324,117082894,Active,62,,,46.09
65,310291193,117082768,Active,62,,,45.75
66,310295461,117086760,Active,62,,,45.7
67,310303658,117094492,Active,62,,,45.55
68,310292935,117084329,Active,61,,,45.48
69,310303790,117094612,Active,61,,,45.42
70,310290744,117082362,Active,61,,,45.31
71,310285938,117077439,Active,61,,,45.27
72,310290113,117081774,Active,61,,,45.16
73,310300409,117091434,Active,61,,,45
74,310297929,117089075,Active,60,,,44.73
75,310285153,117076512,Active,60,,,44.6
76,310302612,117093514,Active,60,,,44.29
77,310284654,117076085,Active,59,,,43.98
78,310292755,117084239,Active,59,,,43.67
79,310300496,117091517,Active,59,,,43.42
80,310303205,117094066,Active,58,,,43.2
81,310284203,117075449,Active,58,,,43.13
82,310300596,117091610,Active,58,,,43.13
83,310300970,117091972,Active,58,,,43.11
84,310301492,117092470,Active,58,,,42.97
85,310286248,117077821,Active,58,,,42.91
86,310303620,117094457,Active,58,,,42.91
87,310286712,136962281,Active,58,,,42.86
88,310285654,117077171,Active,58,,,42.86
89,310303037,117093907,Active,58,,,42.74
90,310299700,117090761,Active,58,,,42.74
91,310287204,117079042,Active,58,,,42.73
92,310290700,117082319,Active,58,,,42.6
93,310296015,117087278,Active,58,,,42.59
94,310291093,117082680,Active,58,,,42.59
95,310295298,117086607,Active,57,,,42.54
96,310294507,117085877,Active,57,,,42.53
97,310293618,117085037,Active,57,,,42.46
98,310284532,117075922,Active,57,,,42.34
99,310286709,117078582,Active,57,,,42.29
100,310300379,117091404,Active,57,,,42.25
101,310294020,117085413,Active,57,,,42.18
102,310293798,117085207,Active,57,,,41.95
103,310286087,117077607,Active,57,,,41.87
104,310297971,117089114,Active,57,,,41.83
105,310285218,117076604,Active,56,,,41.67
106,310290733,117082351,Active,56,,,41.6
107,310295246,117086560,Active,56,,,41.5
108,310286920,117078767,Active,56,,,41.48
109,310298338,117089463,Active,56,,,41.36
110,310295600,117086891,Active,56,,,41.35
111,310284456,117075805,Active,56,,,41.28
112,310300152,117091188,Active,56,,,41.25
113,310290003,117081672,Active,56,,,41.2
114,310289860,117081532,Active,55,,,41.02
115,310284108,117075328,Active,55,,,40.98
116,310295930,117087200,Active,55,,,40.94
117,310289363,117081056,Active,55,,,40.82
118,310297331,117088512,Active,55,,,40.76
119,310285821,117077349,Active,55,,,40.75
120,310286817,117078681,Active,55,,,40.75
121,310300309,117091340,Active,55,,,40.75
122,310294378,117085753,Active,55,,,40.73
123,310287366,117079192,Active,55,,,40.67
124,310285179,117076554,Active,55,,,40.59
125,310297726,117088885,Active,55,,,40.53
126,310298511,117089629,Active,55,,,40.44
127,310285013,117076309,Active,55,,,40.42
128,310297328,117088509,Active,55,,,40.38
129,310287087,117078933,Active,54,,,40.25
130,310292532,117084029,Active,54,,,40.16
131,310294133,117085524,Active,54,,,40.06
132,310297032,117088228,Active,54,,,40.04
133,310290719,117082338,Active,54,,,40
134,310300050,117091095,Active,54,,,39.87
135,310291664,117083217,Active,54,,,39.85
136,310298713,117089819,Active,54,,,39.84
137,310285689,136962235,Active,54,,,39.8
138,310300528,117091549,Active,54,,,39.77
139,310285160,117076525,Active,54,,,39.69
140,310295853,117086627,Active,53,,,39.57
141,310292845,117084325,Active,53,,,39.24
142,310303171,117094034,Active,53,,,39.22
143,310286440,117078108,Active,53,,,39.21
144,310286554,117078297,Active,53,,,39.2
145,310292176,117083691,Active,53,,,39.16
146,310286617,117078418,Active,53,,,39.09
147,310293313,117084754,Active,52,,,38.85
148,310293106,117084566,Active,52,,,38.85
149,310291323,117082893,Active,52,,,38.82
150,310300491,117091512,Active,52,,,38.76
151,310292249,117083760,Active,52,,,38.76
152,310297437,117088608,Active,52,,,38.74
153,310292659,117084148,Active,52,,,38.68
154,310285401,117076850,Active,52,,,38.66
155,162008204,71295822,Active,52,,,38.65
156,310301968,117092913,Active,52,,,38.65
157,310288897,117080611,Active,52,,,38.64
158,310284651,25221253,Active,52,,,38.56
159,310282594,136962124,Active,52,,,38.26
160,310293622,117085041,Active,51,,,38.16
161,310302813,117093699,Active,51,,,38.13
162,310283176,117074331,Active,51,,,38.11
163,310289142,117080847,Active,51,,,38.03
164,310283470,117074764,Active,51,,,37.99
165,310292263,117083773,Active,51,,,37.97
166,310300321,117091351,Active,51,,,37.92
167,310285032,117076334,Active,51,,,37.84
168,310286715,117078593,Active,51,,,37.74
169,310286870,117078725,Active,51,,,37.74
170,310298861,117089958,Active,51,,,37.73
171,310293804,117085213,Active,51,,,37.72
172,310286453,117078128,Active,51,,,37.67
173,310286914,117078762,Active,51,,,37.66
174,310285220,117076607,Active,51,,,37.49
175,310295138,117086456,Active,51,,,37.42
176,310300627,117091641,Active,50,,,37.41
177,310295872,117087145,Active,50,,,37.31
178,310295080,117086403,Active,50,,,37.31
179,310302532,117093438,Active,50,,,37.29
180,310294628,117085985,Active,50,,,37.1
181,310285983,90667123,Active,50,,,37.1
