index,smiles,activation
1,CC1=CC(=NC(=N1)NC2=CC=C(C=C2)N3CCOCC3)NC4=CC5=C(C=C4)OCO5,1
2,CC(=O)NC1=CC=C(C=C1)NC2=NC(=NC3=CC(=C(C=C32)OC)OC)NC4=NC5=CC=CC=C5N4C,1
3,COC1=CC=C(C=C1)CCNC2=C3C(=NC(=N2)NC4=CC=C(C=C4)N5CCOCC5)N(C=N3)CC6=CC=C(C=C6)C(F)(F)F,1
4,CC1=CC(=NC(=N1)NC2=CC(=CC=C2)N(C)C)NCCC3=CC=C(C=C3)OC,1
5,CC(=O)NC1=CC=C(C=C1)NC2=NC(=NC3=CC(=C(C=C32)OC)OC)NC4=NC=CC5=CC=CC=C54,1
6,COC1=CC2=C(C=C1)OCC(C2)C(=O)NC3=C(C=C(C=C3)C4=CNN=C4)OCCOCC=C.C(=O)(C(F)(F)F)O,1
7,CN1C2=CC=CC=C2N=C1NC3=NC4=CC(=C(C=C4C(=N3)NC5=CC=C(C=C5)N6CCOCC6)OC)OC,1
8,COC1=C(C=C2C(=C1)C(=NC(=N2)NC3=CC=C(C=C3)N4CCOCC4)NC5=CC=C(C=C5)N6CCOCC6)OC,1
9,CC1=CC(=NC(=N1)NC2=CC(=CC=C2)N(C)C)NC3=CC4=C(C=C3)OCO4,1
10,C1COCCN1C2=CC=C(C=C2)NC3=NC(=C4C(=N3)N(C=N4)CC5=CC=C(C=C5)C(F)(F)F)NC6=CC7=C(C=C6)OCO7,1
11,CC1=CN=C(N=C1NC2=CC(=C(C(=C2)OC)OC)OC)C3=CC=C(C=C3)C(=O)N,1
12,CN(C)C1=CC=CC(=C1)NC2=NC3=CC(=C(C=C3C(=N2)NCCC4=CC=C(C=C4)OC)OC)OC,1
13,CN(C)C1=CC=CC(=C1)NC2=NC3=CC(=C(C=C3C(=N2)NC4=CC5=C(C=C4)OCO5)OC)OC,1
14,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC.Cl,1
15,CC1=CC(=NC(=N1)N2CCC3=CC=CC=C3C2)NC4=CC=C(C=C4)N5CCOCC5,1
16,COC1=C(C=C2C(=C1)C(=NC(=N2)NC3=CC=C(C=C3)N4CCOCC4)NCCOC5=CC=CC=C5)OC,1
17,CC1=CC(=NC(=N1)NC2=CC(=CC=C2)N(C)C)NCCOC3=CC=CC=C3,1
18,C1CN(CCN1)C2=CC=C(C=C2)NC3=NC=C(C(=C3)N4C=NC(=N4)NC5=CC=CC=C5)F,1
19,C1COCCN1C2=CC=C(C=C2)NC3=NC=CC(=C3)C4=NN(C(=C4)NC5=CC=CC=C5)CCC6=CC=CC=C6,1
20,COC1=C(C=C2C(=C1)C(=NC(=N2)NC3=CC=C(C=C3)N4CCOCC4)NC5=CC=CC=C5)OC,1
21,CCN(CC)C(=O)C1CCCN(C1)C2=NC(=C3C(=N2)N(C=N3)CC4=CC=C(C=C4)C(F)(F)F)NC5=CC=C(C=C5)N6CCOCC6,1
22,CN(C)C1=CC=CC(=C1)NC2=NC3=CC(=C(C=C3C(=N2)NC4=CC=C(C=C4)N5CCOCC5)OC)OC,1
23,CC1=CC(=NC(=N1)NC2=CC(=CC=C2)N(C)C)NCCC3=CC=C(C=C3)O,1
24,CC(=O)NC1=CC=C(C=C1)NC2=NC(=NC3=CC(=C(C=C32)OC)OC)NC4=CC(=CC=C4)N(C)C,1
25,CC(C)N1C=NC2=C(N=C(N=C21)NC3=CC=C(C=C3)N4CCOCC4)NCC5=CC(=CC=C5)C(F)(F)F,1
26,COC1=C(C=C2C(=C1)C(=NC(=N2)NC3=CC=C(C=C3)N4CCOCC4)NC5=CC6=C(C=C5)OCO6)OC,1
27,COC1=CC(=CC(=C1OC)OC)NC2=NC(=NC3=CC(=C(C=C32)OC)OC)NC4=CC=C(C=C4)N5CCOCC5,1
28,COC1=CC=C(C=C1)CCNC2=NC(=NC3=CC(=C(C=C32)OC)OC)NC4=CC=C(C=C4)N5CCOCC5,1
29,COC1=C(C=C2C(=C1)C(=NC(=N2)NC3=CC=C(C=C3)N4CCOCC4)NCC5=CC(=CC=C5)C(F)(F)F)OC,1
30,CC1=CN=C(N=C1NC2=CC=C(C=C2)N3CCOCC3)C4=CC(=CC=C4)N,1
31,COC1=C(C=C2C(=C1)C(=NC(=N2)NCC3=CC4=C(C=C3)OCO4)NC5=CC=C(C=C5)N6CCOCC6)OC,1
32,CCCNC1=C2C(=NC(=N1)NC3=CC=C(C=C3)N4CCOCC4)N(C=N2)C5CCCCC5,1
33,C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C4=NC(=C5C(=N4)N(C=N5)C6=CSC=C6)NC7=CC=C(C=C7)N8CCOCC8,1
34,C1CN(CCN1C2=CC=CC=N2)C3=NC(=C4C(=N3)N(C=N4)CC5=CC=C(C=C5)C(F)(F)F)NC6=CC7=C(C=C6)OCO7,1
35,C1CCC(CC1)N2C=NC3=C(N=C(N=C32)NC4=CC=C(C=C4)N5CCOCC5)NC6CCN(CC6)CC7=CC=CC=C7,1
36,CC1=CC(=NC(=N1)NC2=CC(=CC=C2)N(C)C)NC3CCN(CC3)CC4=CC=CC=C4,1
37,CC1=CC(=NC(=N1)C2=CC=C(C=C2)OC)NC3=CC=C(C=C3)N4CCOCC4,1
38,CN(C)C1=CC=CC(=C1)NC2=NC(=C3C(=N2)N(C=N3)CC4=CC=C(C=C4)C(F)(F)F)NC5=CC6=C(C=C5)OCO6,1
39,C1CN(CCC1NC2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4)CC5=CC=CC=C5,1
40,C1COCCN1C2=CC=C(C=C2)NC3=NC(=C4C(=N3)N(C=N4)C5=CSC=C5)NC6=CC7=C(C=C6)OCO7,1
41,C1CN(CC2=CC=CC=C21)C3=NC=CC(=N3)NC4=CC=C(C=C4)N5CCOCC5,1
42,COC1=CC(=CC(=C1OC)OC)NC(=O)C2=CC(=CC=C2)N3C=C(C=N3)NC(=O)NC4=CC=C(C=C4)C5=CC=CC=C5,1
43,CN(C)C1=CC=CC(=C1)NC2=NC3=CC(=C(C=C3C(=N2)NC4CC4)OC)OC,1
44,COC1=C(C=C2C(=C1)C(=NC(=N2)NC3=CC=C(C=C3)N4C=CN=C4)NC5=CC6=C(C=C5)OCO6)OC,1
45,C1CCC(CC1)N2C=NC3=C(N=C(N=C32)NC4=CC=C(C=C4)N5C=CN=C5)NCCOC6=CC=CC=C6,1
46,COC1=C(C=C2C(=C1)C(=NC(=N2)NC3=CC=C(C=C3)N4CCOCC4)NC5=CC=C(C=C5)OCCN6CCCCC6)OC,1
47,C1COCCN1C2=NN(C=N2)C3=CC=C(C=C3)NC4=NC=C5C=CC(=CC5=N4)C6=NNN=C6.C(=O)(C(F)(F)F)O,1
48,CC1=C(C(=NN1)C)C2=CC(=CC(=C2)C3=NC(=NC=C3)NC4=CC=C(C=C4)N5C=NC(=N5)N6CCOCC6)F.C(=O)(C(F)(F)F)O,1
49,C1CCC(CC1)N2C=NC3=C(N=C(N=C32)NC4=CC=C(C=C4)N5CCOCC5)NCCOC6=CC=CC=C6,1
50,C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C4=NC(=C5C(=N4)N(C=N5)CC6=CC=C(C=C6)C(F)(F)F)NC7=CC=C(C=C7)N8CCOCC8,1
51,CC1=C(C=NN1)C2=CC(=CC(=C2)C3=NC(=NC=C3)NC4=CC=C(C=C4)N5C=NC(=N5)C)F.C(=O)(C(F)(F)F)O,1
52,CC1=NN(C(=N1)C)C2=CC=C(C=C2)NC3=NC=CC(=N3)C4=CC(=CC=C4)N5C=NC=N5.C(=O)(C(F)(F)F)O,1
53,COC1=C(C=C2C(=C1)C(=NC(=N2)NC3=CC=CC=C3)NC4=CC=C(C=C4)N5CCOCC5)OC,1
54,CN1C=C(C=N1)C2=CC3=NC(=NC=C3C=C2)NC4=CC=C(C=C4)N5C=NC(=N5)N6CCOCC6.Cl,1
55,C1COCCN1C2=CC=C(C=C2)NC3=NC=CC(=N3)NC4=CC5=C(C=C4)OCO5,1
56,CC1=CNC2=NC=NC(=C12)C3=CC=C(C=C3)NC(=O)NC4=CC=CC(=C4)C(=O)NC(C)C.C(=O)(C(F)(F)F)O,1
57,COC1=CC=C(C=C1)CCNC2=C3C(=NC(=N2)N4CCN(CC4)CC5=CC6=C(C=C5)OCO6)N(C=N3)C7CCCCC7,1
58,COC1=CC(=CC(=C1OC)OC)NC2=NC3=CC(=C(C=C3C(=N2)NC4=CC=C(C=C4)N5CCOCC5)OC)OC,1
59,C1CC(=O)N(C1)CCCNC2=C3C(=NC(=N2)NC4=CC=C(C=C4)N5C=CN=C5)N(C=N3)C6=CSC=C6,1
60,CC(C)N1C=NC2=C(N=C(N=C21)NC3=CC=C(C=C3)N4CCOCC4)NC5=CC=CC=C5,1
61,CN1C=CC2=C1C=CC(=C2)C3=CC(=NC(=N3)N)NC4=CC=C(C=C4)N5CCOCC5,1
62,CC(=O)C1=CC=CC(=C1)C2=NC(=C3C(=N2)N(C=N3)CC4=CC=C(C=C4)C(F)(F)F)NCC5=CC=CC=C5,1
63,C1CN(CCC1NC2=NC(=C3C(=N2)N(C=N3)CC4=CC=C(C=C4)C(F)(F)F)NC5=CC6=C(C=C5)OCO6)CC7=CC=CC=C7,1
64,C1=CC=C(C=C1)CNC2=C3C(=NC(=N2)NC4=CC=CC=C4)N(C=N3)CC5=CC=C(C=C5)C(F)(F)F,1
65,C1CN(CC2=CC=CC=C21)C3=NC(=C4C(=N3)N(C=N4)C5=CC=CC=C5)NC6=CC=C(C=C6)OC7=CC=CC=C7,1
66,CC1=CC(=NC(=N1)N2CCN(CC2)C3=CC=CC=N3)NC4=CC=C(C=C4)N5CCOCC5,1
67,C1OC2=C(O1)C=C(C=C2)NC(=O)CC3=CN(C4=CC=CC=C43)C5=NN=C(C=C5)NC6=NC=CC7=CC=CC=C76,1
68,C1COCCN1C2=CC=C(C=C2)NC3=NC4=C(C(=N3)NCC5=CC(=CC=C5)C(F)(F)F)NC=N4,1
69,COC1=NC=C(C=C1)C2=NC3=C(N2)C(=NC=N3)NC4=CC(=C(C(=C4)OC)OC)OC,1
70,C1CN(CCN1C2=CC=CC=N2)C3=NC(=C4C(=N3)N(C=N4)C5=CSC=C5)NC6=CC=C(C=C6)N7CCOCC7,1
71,C1COCCN1C2=CC=C(C=C2)NC3=NC=CC(=N3)C4=CC(=CC(=C4)N5CCOCC5)C(F)(F)F,1
72,C1COCCN1C2=NC=C(C=C2)C3=NC(=C4C(=N3)N(C=N4)CC5=CC=C(C=C5)C(F)(F)F)NCC6=CC=CC=C6,1
73,CC(C)N1C=NC2=C(N=C(N=C21)NC3=CC=C(C=C3)N4CCOCC4)NC5CCN(CC5)CC6=CC=CC=C6,1
74,C1CC1NC(=O)C2=CC=C(C=C2)C3=NC(=C4C(=N3)N(C=N4)C5=CC=CC=C5)NCC6=CC(=CC=C6)C(F)(F)F,1
75,COC1=NC=C(C=C1)C2=NN(C=N2)C3=CC=C(C=C3)NC4=NC=CC(=N4)C5=CC(=CC(=C5)C#N)N6CCNCC6.C(=O)(C(F)(F)F)O,1
76,C1CCC(CC1)N2C=NC3=C(N=C(N=C32)N4CCN(CC4)C5=CC=CC=N5)NC6=CC=C(C=C6)N7CCOCC7,1
77,C1COCCN1CCNC(=O)C2=CC(=CC=C2)N3C4=C(C=C(C=C4)NC5=C(C=CC=C5F)[N+](=O)[O-])C=N3,1
78,CN(C)C1=CC=CC(=C1)NC2=NN=C(C=C2)N3C=C(C4=CC=CC=C43)CC(=O)NC5=CC=C(C=C5)N6CCOCC6,1
79,COC1=CC=C(C=C1)CCNC2=C3C(=NC(=N2)NC4CCN(CC4)CC5=CC=CC=C5)N(C=N3)C6CCCCC6,1
80,CN(C)C1=CC=CC(=C1)NC2=NN=C(C=C2)N3C=C(C4=CC=CC=C43)CC(=O)NC5=CC6=C(C=C5)OCO6,1
81,CC1=C(C(=CC=C1)NC2=CC3=C(C=C2)N(N=C3)C4=CC=CC(=C4)C(=O)NCCN5CCNCC5)Cl.Cl.Cl.Cl,1
82,CCNC1=NC2=CC(=C(C=C2C(=N1)NC3=CC=C(C=C3)N4CCOCC4)OC)OC,1
83,CN(C)C1=CC=CC(=C1)NC2=NC=CC(=N2)NCCOC3=CC=CC=C3,1
84,C1CN(CCC1NC2=NC(=NC(=C2)NC3=CC=C(C=C3)N4CCOCC4)N)CC5=CC=CC=C5,1
85,CC1=NC=C(C=C1)C2=NN(C=N2)C3=CC=C(C=C3)NC4=NC=C(C(=N4)C5=CC=NN5C)Cl.C(=O)(C(F)(F)F)O,1
86,C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C4=NC5=C(N4)C(=NC=N5)NC6=CC=C(C=C6)N7CCOCC7,1
